"year","pages","author_count","Topic_STM_1","Topic_STM_2","Topic_STM_3","Topic_STM_4","Topic_STM_5","Topic_STM_6","Topic_STM_7","Topic_STM_8","Topic_STM_9","Topic_STM_10","Topic_LDA_1","Topic_LDA_2","Topic_LDA_3","Topic_LDA_4","Topic_LDA_5","Topic_LDA_6","Topic_LDA_7","Topic_LDA_8","Topic_LDA_9","Topic_LDA_10","cluster"
2017,18,20,0.0157094603872096,0.287875694486695,0.0188581724406744,0.101339646698555,0.23037779886534,0.27104073360156,0.0082710342164363,0.00757953303039083,0.0404557906268296,0.0184921356463088,0.12,0.07,0.1,0.08,0.1,0.09,0.07,0.11,0.17,0.09,"-1"
2017,13,4,0.00942236044529973,0.00218335406954221,0.0096401832735077,0.00795621074643875,0.0123322935692261,0.0913925837344086,0.14341964422549,0.561397523227667,0.00827975357616042,0.15397609313226,0.186274509803922,0.0784313725490196,0.0686274509803922,0.0588235294117647,0.0882352941176471,0.0686274509803922,0.0686274509803922,0.274509803921569,0.0588235294117647,0.0490196078431373,"1"
2018,13,14,0.000485321520038936,0.0052526504167171,0.0147044503845913,0.00732469426767104,0.00595514742934958,0.96106176092476,0.000928180065218908,0.00107693283206368,0.000209210526671187,0.00300165163291888,0.0619469026548673,0.0973451327433628,0.141592920353982,0.0884955752212389,0.0442477876106195,0.141592920353982,0.176991150442478,0.0530973451327434,0.123893805309735,0.0707964601769911,"-1"
2017,17,11,0.0569799477275927,0.0079862383835041,0.439902018701749,0.0119600838634957,0.0193040084519156,0.0273387434036967,0.0445751100432429,0.0771676513632295,0.0338798171208288,0.280906380940745,0.0909090909090909,0.0779220779220779,0.0779220779220779,0.116883116883117,0.0649350649350649,0.0649350649350649,0.103896103896104,0.207792207792208,0.0779220779220779,0.116883116883117,"-1"
2017,13,17,0.949055577649376,0.00403817049846387,0.00279310521312486,0.00378951205178026,0.00483984628223607,0.00319471455660149,0.0075057806276552,0.00570683658318096,0.0145352478726424,0.00454120866493939,0.170454545454545,0.102272727272727,0.113636363636364,0.0568181818181818,0.0568181818181818,0.113636363636364,0.159090909090909,0.0681818181818182,0.0795454545454545,0.0795454545454545,"-1"
2017,12,10,0.3786709880395,0.0142914637891378,0.0114324558197493,0.0163497754599965,0.0194472584465977,0.015687983391074,0.0262282535229803,0.0252955375001593,0.12466377358796,0.367932510442845,0.0853658536585366,0.146341463414634,0.134146341463415,0.121951219512195,0.0975609756097561,0.0609756097560976,0.0853658536585366,0.0853658536585366,0.0609756097560976,0.121951219512195,"1"
2017,17,5,0.0126185377231006,0.00858632234127302,0.0036721498414021,0.00767412707103826,0.00355289040986829,0.00112830704934411,0.00513464349916757,0.0120187031693605,0.933878561611186,0.0117357572842594,0.0568181818181818,0.0568181818181818,0.170454545454545,0.0681818181818182,0.0568181818181818,0.0681818181818182,0.0681818181818182,0.0795454545454545,0.0681818181818182,0.306818181818182,"-1"
2017,16,13,0.041084154081492,0.20537435258255,0.0131263901961419,0.0155481353115471,0.0102255218754664,0.00878560475314501,0.0164719387696672,0.247617172815586,0.422739772029449,0.0190269575849558,0.1,0.0888888888888889,0.0777777777777778,0.111111111111111,0.0888888888888889,0.1,0.0777777777777778,0.0777777777777778,0.0666666666666667,0.211111111111111,"-1"
2017,20,5,0.641467981173756,0.0111668653326732,0.00476042466729085,0.00969475733613165,0.00620904500712684,0.0026786893038793,0.0107541785288205,0.00938357217158467,0.292663559050084,0.0112209274286529,0.0736842105263158,0.0736842105263158,0.231578947368421,0.0631578947368421,0.0736842105263158,0.0526315789473684,0.0947368421052632,0.0736842105263158,0.0947368421052632,0.168421052631579,"-1"
2017,14,9,0.00700223629965199,0.0032414113260788,0.658738448901173,0.00688597476801633,0.0117683779790343,0.01526433992273,0.015432144118304,0.182692792071874,0.0183107515840748,0.0806635230290629,0.0545454545454545,0.318181818181818,0.0727272727272727,0.109090909090909,0.0727272727272727,0.0727272727272727,0.0909090909090909,0.0909090909090909,0.0545454545454545,0.0636363636363636,"1"
2001,2,3,0.00937580136952511,0.0149716882447659,0.648781940192256,0.0159709122138613,0.0200947900531088,0.228761448240867,0.00961355274553367,0.0167632943056776,0.0231700711963177,0.0124965014380874,0.120689655172414,0.0862068965517241,0.155172413793103,0.0862068965517241,0.0862068965517241,0.0862068965517241,0.120689655172414,0.0862068965517241,0.0862068965517241,0.0862068965517241,"0"
2001,2,7,0.00949191752035393,0.0123081372464679,0.0149595501400126,0.746423088561832,0.0148254917443018,0.15274372425471,0.00733659891392142,0.0101562453796059,0.0218745512779929,0.00988069496080211,0.142857142857143,0.0952380952380952,0.0793650793650794,0.0793650793650794,0.0793650793650794,0.19047619047619,0.0952380952380952,0.0793650793650794,0.0793650793650794,0.0793650793650794,"-1"
2001,2,3,0.0175903431884921,0.0300939405634056,0.053476044644622,0.0373881004441283,0.0388831287259973,0.726271213315652,0.0141421943218963,0.024221663581224,0.0311425940670463,0.026790777147536,0.134615384615385,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,"0"
2000,1,3,0.0101279701411205,0.0197540226850658,0.0356335941498077,0.0240078159747669,0.0246779173102941,0.829807144131148,0.00834801956537481,0.0145247340024764,0.0163397435974922,0.0167790384424534,0.160714285714286,0.0892857142857143,0.0892857142857143,0.0892857142857143,0.0892857142857143,0.0892857142857143,0.0892857142857143,0.0892857142857143,0.0892857142857143,0.125,"0"
2000,1,4,0.0169699011228495,0.0302107425686756,0.0539169211647158,0.037084959300826,0.0384100257616585,0.730328712071446,0.0130435174210798,0.0231682943451328,0.0314068578849478,0.0254600683586676,0.127272727272727,0.0909090909090909,0.127272727272727,0.0909090909090909,0.109090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,"0"
2000,1,3,0.0173917121802663,0.0213960568893825,0.040473525009403,0.0313907664899081,0.0365037157075547,0.43055918100392,0.0176041959976256,0.0277880860219073,0.049511826941506,0.327380933758526,0.163934426229508,0.0819672131147541,0.0819672131147541,0.0983606557377049,0.147540983606557,0.0819672131147541,0.0983606557377049,0.0819672131147541,0.0819672131147541,0.0819672131147541,"0"
2000,1,5,0.012213449168869,0.0172588073001706,0.0319602988008869,0.0241594841915128,0.0275558795018953,0.594024439186316,0.0117480501326466,0.0198612268894288,0.0309263366893879,0.230292028138886,0.183333333333333,0.0833333333333333,0.133333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.1,0.0833333333333333,0.0833333333333333,0.0833333333333333,"0"
2001,2,3,0.0132769303187094,0.0149584441197224,0.028237631350525,0.0227066984816536,0.0274869848812052,0.295406932591423,0.0132890117069885,0.0218543314274257,0.0402707867193965,0.52251224840295,0.166666666666667,0.0833333333333333,0.1,0.0833333333333333,0.116666666666667,0.0833333333333333,0.1,0.0833333333333333,0.1,0.0833333333333333,"0"
2001,2,3,0.0102912580616431,0.00972027861964951,0.0136655860429786,0.540192217993668,0.0164680973711661,0.129618304287617,0.00950790419723547,0.0127829415945929,0.0302097339559189,0.227543677875531,0.121212121212121,0.106060606060606,0.106060606060606,0.0757575757575758,0.0757575757575758,0.212121212121212,0.0757575757575758,0.0757575757575758,0.0757575757575758,0.0757575757575758,"0"
2000,2,4,0.380276648220994,0.0307899239036398,0.142712080860661,0.0238658664984674,0.0221384752420058,0.181724092379327,0.014152690531409,0.0215269273241178,0.163995054431985,0.0188182406073944,0.114754098360656,0.0819672131147541,0.131147540983607,0.0819672131147541,0.0983606557377049,0.131147540983607,0.0983606557377049,0.0819672131147541,0.0819672131147541,0.0983606557377049,"0"
2000,2,6,0.0142630724362828,0.0194105593691318,0.0326778638163259,0.0247631957298701,0.243855029252419,0.395904278942267,0.0120548284158056,0.0224246346202519,0.0326075601109592,0.202038977306687,0.131147540983607,0.114754098360656,0.114754098360656,0.0819672131147541,0.0819672131147541,0.0819672131147541,0.0819672131147541,0.0819672131147541,0.114754098360656,0.114754098360656,"-1"
2000,1,6,0.0108550894379806,0.0155944022994279,0.0673962206595767,0.0198137083318132,0.174253678272981,0.526252262265723,0.0103211823039758,0.0188117243383879,0.0228026261449829,0.133899105945151,0.140845070422535,0.126760563380282,0.0985915492957746,0.0985915492957746,0.0845070422535211,0.0845070422535211,0.0704225352112676,0.0985915492957746,0.126760563380282,0.0704225352112676,"-1"
2000,2,7,0.0169699011228495,0.0302107425686756,0.0539169211647158,0.037084959300826,0.0384100257616585,0.730328712071446,0.0130435174210798,0.0231682943451328,0.0314068578849478,0.0254600683586676,0.150943396226415,0.0943396226415094,0.0943396226415094,0.0943396226415094,0.0943396226415094,0.0943396226415094,0.0943396226415094,0.0943396226415094,0.0943396226415094,0.0943396226415094,"-1"
2000,1,5,0.0169699011228495,0.0302107425686756,0.0539169211647158,0.037084959300826,0.0384100257616585,0.730328712071446,0.0130435174210798,0.0231682943451328,0.0314068578849478,0.0254600683586676,0.132075471698113,0.0943396226415094,0.0943396226415094,0.0943396226415094,0.0943396226415094,0.0943396226415094,0.0943396226415094,0.0943396226415094,0.113207547169811,0.0943396226415094,"0"
2000,2,3,0.0116397602558025,0.0131473321253904,0.0232899908183673,0.0192603716112437,0.0229316726539575,0.226084879952892,0.0106927686629207,0.0185704143221542,0.0468349824104608,0.607547827186811,0.140625,0.078125,0.09375,0.109375,0.078125,0.078125,0.078125,0.109375,0.109375,0.125,"0"
2001,2,3,0.016010136111693,0.0263551222140552,0.0249682718171713,0.101836554900451,0.0171978966990289,0.57787037088908,0.00946264034670397,0.0156021853280118,0.185489937957158,0.0252068837366458,0.140625,0.09375,0.09375,0.078125,0.140625,0.078125,0.078125,0.078125,0.09375,0.125,"0"
2001,1,3,0.0175903431884921,0.0300939405634056,0.053476044644622,0.0373881004441283,0.0388831287259973,0.726271213315652,0.0141421943218963,0.024221663581224,0.0311425940670463,0.026790777147536,0.142857142857143,0.125,0.0892857142857143,0.0892857142857143,0.107142857142857,0.0892857142857143,0.0892857142857143,0.0892857142857143,0.0892857142857143,0.0892857142857143,"0"
2002,2,4,0.0210486810059806,0.372755780816797,0.0382894550939107,0.0322534617346268,0.0275864541212401,0.415782889684341,0.00879635672273085,0.0122357744413027,0.0521533223659989,0.0190978240130704,0.125,0.0892857142857143,0.0892857142857143,0.125,0.107142857142857,0.0892857142857143,0.0892857142857143,0.0892857142857143,0.0892857142857143,0.107142857142857,"0"
2002,2,7,0.0166540029515808,0.013625100866697,0.031818174841924,0.18546398531304,0.0460515933610058,0.302997035085319,0.0210392504797334,0.315169819875369,0.0419694934617762,0.0252115437635547,0.145161290322581,0.129032258064516,0.0806451612903226,0.0967741935483871,0.0806451612903226,0.145161290322581,0.0806451612903226,0.0806451612903226,0.0806451612903226,0.0806451612903226,"-1"
2002,2,3,0.0151810558519373,0.0204633780534467,0.0276296410283675,0.342394869871963,0.0288831620095354,0.491440029401359,0.0130532108252146,0.0170711376375098,0.0263483972882201,0.0175351180324472,0.183333333333333,0.1,0.0833333333333333,0.0833333333333333,0.1,0.116666666666667,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,"0"
2002,1,4,0.0156616802467127,0.0244809563962823,0.0426250430022827,0.0301756401817382,0.0312927422297145,0.778182021546169,0.0123533778946359,0.0199522296843682,0.0225458978231316,0.0227304109949649,0.12962962962963,0.0925925925925926,0.0925925925925926,0.111111111111111,0.111111111111111,0.0925925925925926,0.0925925925925926,0.0925925925925926,0.0925925925925926,0.0925925925925926,"0"
2001,1,4,0.0089060627588433,0.010653938653235,0.446005575223599,0.0139066374130343,0.0200620711139432,0.173422514219205,0.0112929610432564,0.0184763075710006,0.028772163281315,0.268501768722568,0.112903225806452,0.0806451612903226,0.0967741935483871,0.112903225806452,0.145161290322581,0.0806451612903226,0.0967741935483871,0.0806451612903226,0.112903225806452,0.0806451612903226,"0"
2001,1,6,0.0105594821593679,0.0115603993772383,0.0220083635255739,0.0190570660196656,0.0221109886651984,0.226554896335559,0.0109952420295731,0.0179251918468292,0.034024670510289,0.625203699530706,0.116666666666667,0.133333333333333,0.0833333333333333,0.1,0.116666666666667,0.0833333333333333,0.0833333333333333,0.116666666666667,0.0833333333333333,0.0833333333333333,"0"
2000,1,4,0.0169699011228495,0.0302107425686756,0.0539169211647158,0.037084959300826,0.0384100257616585,0.730328712071446,0.0130435174210798,0.0231682943451328,0.0314068578849478,0.0254600683586676,0.125,0.0892857142857143,0.160714285714286,0.0892857142857143,0.0892857142857143,0.0892857142857143,0.0892857142857143,0.0892857142857143,0.0892857142857143,0.0892857142857143,"0"
2000,1,4,0.0173580698444657,0.0213021421090398,0.0405932924145648,0.0313898650801678,0.0366628745165555,0.430590751230896,0.016911691185019,0.029356430270981,0.0496148048005762,0.326220078547734,0.133333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.116666666666667,0.0833333333333333,0.133333333333333,0.0833333333333333,0.116666666666667,"0"
2000,2,3,0.00994205349825229,0.0141589730266635,0.0263130800122972,0.019928074339146,0.0228570556596875,0.594313682722603,0.00993423512056225,0.0165946186258397,0.0251415054130904,0.260816721581858,0.2,0.1,0.0833333333333333,0.0833333333333333,0.1,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.1,"0"
